Below,Topics,Alpha,Beta,Coherence
1,2,0.01,0.01,-2.7748563219147044
1,2,0.01,0.31,-2.796353573648839
1,2,0.01,0.61,-2.752660681671351
1,2,0.01,0.9099999999999999,-3.4741751363352145
1,2,0.01,symmetric,-2.6846699905970546
1,2,0.31,0.01,-2.878082136636502
1,2,0.31,0.31,-2.7772948779139774
1,2,0.31,0.61,-2.611161671026019
1,2,0.31,0.9099999999999999,-4.010209101584732
1,2,0.31,symmetric,-3.0197534025294983
1,2,0.61,0.01,-2.8977607526516778
1,2,0.61,0.31,-2.929313996606557
1,2,0.61,0.61,-3.0779123344230936
1,2,0.61,0.9099999999999999,-3.219277783487367
1,2,0.61,symmetric,-2.925972885001465
1,2,0.9099999999999999,0.01,-2.9484963323279993
1,2,0.9099999999999999,0.31,-2.9662173994357373
1,2,0.9099999999999999,0.61,-2.9584702614776783
1,2,0.9099999999999999,0.9099999999999999,-3.0476568394304517
1,2,0.9099999999999999,symmetric,-2.9717968078235413
1,2,symmetric,0.01,-3.0104139071735774
1,2,symmetric,0.31,-2.914083078928635
1,2,symmetric,0.61,-3.182166174592291
1,2,symmetric,0.9099999999999999,-4.412588973296844
1,2,symmetric,symmetric,-3.0128590454470956
1,2,asymmetric,0.01,-3.230706620175342
1,2,asymmetric,0.31,-11.087448015167757
1,2,asymmetric,0.61,-11.128184556239153
1,2,asymmetric,0.9099999999999999,-11.277605571268852
1,2,asymmetric,symmetric,-11.235108951586938
1,3,0.01,0.01,-2.802899358063183
1,3,0.01,0.31,-2.869137108878608
1,3,0.01,0.61,-3.76420165035738
1,3,0.01,0.9099999999999999,-5.448443393658043
1,3,0.01,symmetric,-2.891647386160131
1,3,0.31,0.01,-3.5599701391755247
1,3,0.31,0.31,-4.13452115357909
1,3,0.31,0.61,-6.439173248000678
1,3,0.31,0.9099999999999999,-11.15420691221476
1,3,0.31,symmetric,-4.402107157125734
1,3,0.61,0.01,-3.1244844499197604
1,3,0.61,0.31,-3.1279002169164545
1,3,0.61,0.61,-3.2200064473136307
1,3,0.61,0.9099999999999999,-4.974400491013548
1,3,0.61,symmetric,-3.1059800751180373
1,3,0.9099999999999999,0.01,-2.863456793938338
1,3,0.9099999999999999,0.31,-3.0157088295442644
1,3,0.9099999999999999,0.61,-3.253287830655475
1,3,0.9099999999999999,0.9099999999999999,-3.164821045539087
1,3,0.9099999999999999,symmetric,-3.0363686719450818
1,3,symmetric,0.01,-3.489114349758429
1,3,symmetric,0.31,-4.304587263811612
1,3,symmetric,0.61,-5.924239952328375
1,3,symmetric,0.9099999999999999,-10.328443335949686
1,3,symmetric,symmetric,-4.300023355122152
1,3,asymmetric,0.01,-8.218419844952992
1,3,asymmetric,0.31,-13.803504501633697
1,3,asymmetric,0.61,-13.667550352264703
1,3,asymmetric,0.9099999999999999,-13.351208725781774
1,3,asymmetric,symmetric,-13.750995339160676
1,4,0.01,0.01,-2.838532543662088
1,4,0.01,0.31,-2.9117766125176474
1,4,0.01,0.61,-5.483224029659976
1,4,0.01,0.9099999999999999,-9.27127169259969
1,4,0.01,symmetric,-2.8714851485190707
1,4,0.31,0.01,-3.481714125169648
1,4,0.31,0.31,-4.94762220719049
1,4,0.31,0.61,-8.561763948737276
1,4,0.31,0.9099999999999999,-13.522241291076508
1,4,0.31,symmetric,-4.348256228356849
1,4,0.61,0.01,-3.5032253064030554
1,4,0.61,0.31,-3.5604974729001717
1,4,0.61,0.61,-4.880708708344436
1,4,0.61,0.9099999999999999,-6.82743384670446
1,4,0.61,symmetric,-3.5114497789933834
1,4,0.9099999999999999,0.01,-3.285042340606385
1,4,0.9099999999999999,0.31,-3.038442329380762
1,4,0.9099999999999999,0.61,-2.8833664584766163
1,4,0.9099999999999999,0.9099999999999999,-2.8973205024660222
1,4,0.9099999999999999,symmetric,-3.099511540074768
1,4,symmetric,0.01,-3.5174714478642666
1,4,symmetric,0.31,-4.327631054167897
1,4,symmetric,0.61,-9.593054448345438
1,4,symmetric,0.9099999999999999,-14.898200325027801
1,4,symmetric,symmetric,-3.7059676312345418
1,4,asymmetric,0.01,-8.907426259984137
1,4,asymmetric,0.31,-14.903187400958895
1,4,asymmetric,0.61,-13.971272599560383
1,4,asymmetric,0.9099999999999999,-12.179201693639762
1,4,asymmetric,symmetric,-15.074010201171784
1,5,0.01,0.01,-3.094911848147503
1,5,0.01,0.31,-3.2071272634590158
1,5,0.01,0.61,-8.675621220159936
1,5,0.01,0.9099999999999999,-12.677855313022405
1,5,0.01,symmetric,-2.930169776583664
1,5,0.31,0.01,-4.109553190540554
1,5,0.31,0.31,-6.994576953261133
1,5,0.31,0.61,-11.139774427595878
1,5,0.31,0.9099999999999999,-13.047005712015231
1,5,0.31,symmetric,-5.347615439161761
1,5,0.61,0.01,-4.183681601496213
1,5,0.61,0.31,-4.4126488364453795
1,5,0.61,0.61,-6.073606166511565
1,5,0.61,0.9099999999999999,-7.012564949825839
1,5,0.61,symmetric,-4.388053706950956
1,5,0.9099999999999999,0.01,-3.3689006715847034
1,5,0.9099999999999999,0.31,-3.3203408647157806
1,5,0.9099999999999999,0.61,-2.654773455545557
1,5,0.9099999999999999,0.9099999999999999,-2.6230354501351294
1,5,0.9099999999999999,symmetric,-3.4514693047281115
1,5,symmetric,0.01,-3.981659354111531
1,5,symmetric,0.31,-6.0060466426297525
1,5,symmetric,0.61,-11.184825835442236
1,5,symmetric,0.9099999999999999,-13.251963072132586
1,5,symmetric,symmetric,-4.358909702278767
1,5,asymmetric,0.01,-12.638664148108285
1,5,asymmetric,0.31,-15.277260070565301
1,5,asymmetric,0.61,-15.12864906995659
1,5,asymmetric,0.9099999999999999,-14.590534065119869
1,5,asymmetric,symmetric,-15.847414952169723
1,6,0.01,0.01,-3.3303481768715515
1,6,0.01,0.31,-4.326212657428751
1,6,0.01,0.61,-9.204700655853605
1,6,0.01,0.9099999999999999,-13.670451887151456
1,6,0.01,symmetric,-3.2968255946037126
1,6,0.31,0.01,-4.997557857230731
1,6,0.31,0.31,-8.718591958888169
1,6,0.31,0.61,-13.863726225512574
1,6,0.31,0.9099999999999999,-15.189272996373383
1,6,0.31,symmetric,-6.357519007191864
1,6,0.61,0.01,-5.180962983794383
1,6,0.61,0.31,-5.410333166597936
1,6,0.61,0.61,-6.756846607870514
1,6,0.61,0.9099999999999999,-4.96423470866661
1,6,0.61,symmetric,-4.995146383514959
1,6,0.9099999999999999,0.01,-4.121600559571893
1,6,0.9099999999999999,0.31,-3.396425795760708
1,6,0.9099999999999999,0.61,-2.701065300378144
1,6,0.9099999999999999,0.9099999999999999,-2.577849357716435
1,6,0.9099999999999999,symmetric,-3.980580723654942
1,6,symmetric,0.01,-4.098712407938713
1,6,symmetric,0.31,-6.424165087778231
