Below,Topics,Alpha,Beta,Coherence
5,7,symmetric,0.31,-4.16778255636217
5,7,symmetric,0.61,-3.8526778895093132
5,7,symmetric,0.9099999999999999,-3.921117900808597
5,7,symmetric,symmetric,-4.342146588129344
5,7,asymmetric,0.01,-8.373662385933091
5,7,asymmetric,0.31,-12.190597617945386
5,7,asymmetric,0.61,-12.792394996753913
5,7,asymmetric,0.9099999999999999,-12.79207286056507
5,7,asymmetric,symmetric,-13.325436650295389
5,8,0.01,0.01,-4.311570114307653
5,8,0.01,0.31,-4.05898350575671
5,8,0.01,0.61,-4.232696364814871
5,8,0.01,0.9099999999999999,-5.406028783655269
5,8,0.01,symmetric,-4.478199432409416
5,8,0.31,0.01,-5.9543602367466475
5,8,0.31,0.31,-5.734226201759222
5,8,0.31,0.61,-5.413822349485758
5,8,0.31,0.9099999999999999,-5.072092771887809
5,8,0.31,symmetric,-5.607270480647159
5,8,0.61,0.01,-5.778555370824069
5,8,0.61,0.31,-4.860112551733746
5,8,0.61,0.61,-4.355078306260869
5,8,0.61,0.9099999999999999,-3.111454172457997
5,8,0.61,symmetric,-5.7248932931377094
5,8,0.9099999999999999,0.01,-5.949155309046576
5,8,0.9099999999999999,0.31,-3.2474924973804296
5,8,0.9099999999999999,0.61,-2.7968665345956305
5,8,0.9099999999999999,0.9099999999999999,-2.641485656971641
5,8,0.9099999999999999,symmetric,-5.451530835939478
5,8,symmetric,0.01,-4.9046328361788
5,8,symmetric,0.31,-4.407224614708465
5,8,symmetric,0.61,-4.185073184005818
5,8,symmetric,0.9099999999999999,-4.457429672912683
5,8,symmetric,symmetric,-4.99760059591636
5,8,asymmetric,0.01,-9.069343990731712
5,8,asymmetric,0.31,-11.664354544030989
5,8,asymmetric,0.61,-11.82359893994178
5,8,asymmetric,0.9099999999999999,-11.964852653335985
5,8,asymmetric,symmetric,-12.81964793566276
5,9,0.01,0.01,-4.52467881234183
5,9,0.01,0.31,-4.459146250484598
5,9,0.01,0.61,-4.651829481832876
5,9,0.01,0.9099999999999999,-4.795483913854997
5,9,0.01,symmetric,-4.4677473943967625
5,9,0.31,0.01,-5.668130640633548
5,9,0.31,0.31,-5.737890151213035
5,9,0.31,0.61,-5.5461422292273665
5,9,0.31,0.9099999999999999,-5.544575227737926
5,9,0.31,symmetric,-5.97891281007146
5,9,0.61,0.01,-6.694322660612986
