Below,Topics,Alpha,Beta,Coherence
4,2,0.01,0.01,-2.8896969387095552
4,2,0.01,0.31,-2.8974791635164583
4,2,0.01,0.61,-2.850506018629922
4,2,0.01,0.9099999999999999,-2.8574491115624348
4,2,0.01,symmetric,-2.88841191252403
4,2,0.31,0.01,-2.8513220288838985
4,2,0.31,0.31,-2.9369729406691043
4,2,0.31,0.61,-2.912772661572559
4,2,0.31,0.9099999999999999,-2.9251095258931654
4,2,0.31,symmetric,-2.9238053388704
4,2,0.61,0.01,-2.879759949430577
4,2,0.61,0.31,-2.7948204393592233
4,2,0.61,0.61,-2.851468908830342
4,2,0.61,0.9099999999999999,-2.941028696909671
4,2,0.61,symmetric,-2.8512037994361275
4,2,0.9099999999999999,0.01,-2.843104477563268
4,2,0.9099999999999999,0.31,-2.8436669105439027
4,2,0.9099999999999999,0.61,-2.841337242492137
4,2,0.9099999999999999,0.9099999999999999,-2.8425679575445333
4,2,0.9099999999999999,symmetric,-2.841337242492137
4,2,symmetric,0.01,-2.934259654847831
4,2,symmetric,0.31,-2.840259438552896
4,2,symmetric,0.61,-2.9305478854788545
4,2,symmetric,0.9099999999999999,-2.9307178389353368
4,2,symmetric,symmetric,-2.93320986441519
4,2,asymmetric,0.01,-3.0715002230784156
4,2,asymmetric,0.31,-7.131992493896111
4,2,asymmetric,0.61,-10.174379838661531
4,2,asymmetric,0.9099999999999999,-10.87864805989495
4,2,asymmetric,symmetric,-9.030058276433664
4,3,0.01,0.01,-2.828421409233588
4,3,0.01,0.31,-3.020406504999441
4,3,0.01,0.61,-3.0053013584086194
4,3,0.01,0.9099999999999999,-2.9581862994642627
4,3,0.01,symmetric,-3.028091408020535
4,3,0.31,0.01,-3.141683623933522
4,3,0.31,0.31,-3.1389245444816467
4,3,0.31,0.61,-3.1753965797488277
4,3,0.31,0.9099999999999999,-3.304545282881495
4,3,0.31,symmetric,-3.135444143967078
4,3,0.61,0.01,-2.920648268969311
4,3,0.61,0.31,-2.978800782304394
4,3,0.61,0.61,-2.97388273630713
4,3,0.61,0.9099999999999999,-2.8958889104560774
4,3,0.61,symmetric,-2.9724331482719255
4,3,0.9099999999999999,0.01,-2.8186254579415917
4,3,0.9099999999999999,0.31,-2.7142857108728684
4,3,0.9099999999999999,0.61,-2.7095641231073007
4,3,0.9099999999999999,0.9099999999999999,-2.6301996796274616
4,3,0.9099999999999999,symmetric,-2.7172419093022704
