Below,Topics,Alpha,Beta,Coherence
5,2,0.01,0.01,-2.830424085387331
5,2,0.01,0.31,-2.8159775517813426
5,2,0.01,0.61,-2.8433935008905293
5,2,0.01,0.9099999999999999,-2.8337729262223372
5,2,0.01,symmetric,-2.814952972280045
5,2,0.31,0.01,-2.8181323283070543
5,2,0.31,0.31,-2.810773099924245
5,2,0.31,0.61,-2.7911327302139513
5,2,0.31,0.9099999999999999,-2.788616099749235
5,2,0.31,symmetric,-2.7988526855070646
5,2,0.61,0.01,-2.7534061098297515
5,2,0.61,0.31,-2.7588908831523895
5,2,0.61,0.61,-2.754597517398347
5,2,0.61,0.9099999999999999,-2.7356821741765245
5,2,0.61,symmetric,-2.758073655439997
5,2,0.9099999999999999,0.01,-2.652913397490054
5,2,0.9099999999999999,0.31,-2.7505122218343625
5,2,0.9099999999999999,0.61,-2.735975739271977
5,2,0.9099999999999999,0.9099999999999999,-2.736468723742023
5,2,0.9099999999999999,symmetric,-2.7512962587048886
5,2,symmetric,0.01,-2.788201943036013
5,2,symmetric,0.31,-2.781312022811334
5,2,symmetric,0.61,-2.778396060853851
5,2,symmetric,0.9099999999999999,-2.746110601753008
5,2,symmetric,symmetric,-2.7835647892762383
5,2,asymmetric,0.01,-3.2124448118622713
5,2,asymmetric,0.31,-5.101287030365694
5,2,asymmetric,0.61,-7.929916561972313
5,2,asymmetric,0.9099999999999999,-10.310004171377493
5,2,asymmetric,symmetric,-6.929567848369285
5,3,0.01,0.01,-2.863216634510868
5,3,0.01,0.31,-2.838881649397164
5,3,0.01,0.61,-2.8602124001544365
5,3,0.01,0.9099999999999999,-2.885294371689756
5,3,0.01,symmetric,-2.834096856580482
5,3,0.31,0.01,-2.967450042969268
5,3,0.31,0.31,-2.9102519429313465
5,3,0.31,0.61,-2.8977360746658576
5,3,0.31,0.9099999999999999,-2.929973832814838
5,3,0.31,symmetric,-2.9096222829380403
5,3,0.61,0.01,-2.7924472640724045
5,3,0.61,0.31,-2.8749744140425193
5,3,0.61,0.61,-2.7745712504772833
5,3,0.61,0.9099999999999999,-2.7758585375875335
5,3,0.61,symmetric,-2.8749744140425193
5,3,0.9099999999999999,0.01,-2.6891075259168513
5,3,0.9099999999999999,0.31,-2.695851838877154
5,3,0.9099999999999999,0.61,-2.696116270914248
5,3,0.9099999999999999,0.9099999999999999,-2.618115979803936
5,3,0.9099999999999999,symmetric,-2.695851838877154
5,3,symmetric,0.01,-3.1090296833170115
5,3,symmetric,0.31,-2.9602594955004577
5,3,symmetric,0.61,-2.9698781637740326
5,3,symmetric,0.9099999999999999,-2.9307718493759793
5,3,symmetric,symmetric,-3.0259199650481485
5,3,asymmetric,0.01,-6.589125212298178
5,3,asymmetric,0.31,-6.594693633592186
5,3,asymmetric,0.61,-8.694250281340652
5,3,asymmetric,0.9099999999999999,-11.476313876769256
5,3,asymmetric,symmetric,-6.578885693008314
5,4,0.01,0.01,-2.996908067471093
5,4,0.01,0.31,-3.171970636034612
5,4,0.01,0.61,-3.020327213259052
5,4,0.01,0.9099999999999999,-3.134929028668703
5,4,0.01,symmetric,-3.0391492727237766
5,4,0.31,0.01,-3.6400944060489335
5,4,0.31,0.31,-3.867146158849665
5,4,0.31,0.61,-3.801139229955592
5,4,0.31,0.9099999999999999,-3.8816149324637728
5,4,0.31,symmetric,-3.866489319856373
5,4,0.61,0.01,-3.194475479894978
5,4,0.61,0.31,-3.2368958817440645
5,4,0.61,0.61,-3.3243451923738565
5,4,0.61,0.9099999999999999,-3.267670022503506
5,4,0.61,symmetric,-3.245659406326967
5,4,0.9099999999999999,0.01,-2.9130972257422867
5,4,0.9099999999999999,0.31,-2.9074648610886937
5,4,0.9099999999999999,0.61,-2.817307798373099
5,4,0.9099999999999999,0.9099999999999999,-2.8076180500719934
5,4,0.9099999999999999,symmetric,-2.902651060125561
5,4,symmetric,0.01,-3.104089132425359
5,4,symmetric,0.31,-3.176838806384281
5,4,symmetric,0.61,-3.0776890675515145
5,4,symmetric,0.9099999999999999,-3.103572239172844
5,4,symmetric,symmetric,-3.1436193098904393
5,4,asymmetric,0.01,-8.110261525147667
5,4,asymmetric,0.31,-8.149583548397793
5,4,asymmetric,0.61,-8.42726973543347
5,4,asymmetric,0.9099999999999999,-10.382075357831788
5,4,asymmetric,symmetric,-8.652476347759361
