Below,Topics,Alpha,Beta,Coherence
5,5,0.01,0.01,-3.1949172351591124
5,5,0.01,0.31,-2.9884640780296223
5,5,0.01,0.61,-2.9637851760740133
5,5,0.01,0.9099999999999999,-3.1181263733483098
5,5,0.01,symmetric,-3.1424024724668826
5,5,0.31,0.01,-4.1272154129022365
5,5,0.31,0.31,-4.044410955195923
5,5,0.31,0.61,-3.9179828115520605
5,5,0.31,0.9099999999999999,-3.8150744800721172
5,5,0.31,symmetric,-3.947476548019972
5,5,0.61,0.01,-4.177817382434681
5,5,0.61,0.31,-3.719070563768264
5,5,0.61,0.61,-3.505026877831134
5,5,0.61,0.9099999999999999,-3.5056077224587057
5,5,0.61,symmetric,-3.839115121352993
5,5,0.9099999999999999,0.01,-4.006202235538312
5,5,0.9099999999999999,0.31,-3.710643467933963
5,5,0.9099999999999999,0.61,-3.1263556723143346
5,5,0.9099999999999999,0.9099999999999999,-2.903644702072074
5,5,0.9099999999999999,symmetric,-3.857664669183053
5,5,symmetric,0.01,-3.31595240591239
5,5,symmetric,0.31,-3.126414873981914
5,5,symmetric,0.61,-3.0503956157422363
5,5,symmetric,0.9099999999999999,-3.046037823979572
5,5,symmetric,symmetric,-3.4520813115338624
5,5,asymmetric,0.01,-6.7961547200570775
5,5,asymmetric,0.31,-11.79617574291825
5,5,asymmetric,0.61,-10.945225430949876
5,5,asymmetric,0.9099999999999999,-12.530935500009736
5,5,asymmetric,symmetric,-11.921347562525302
