Below,Topics,Alpha,Beta,Coherence
2,3,symmetric,0.31,-2.8962936649507367
2,3,symmetric,0.61,-2.857014406087096
2,3,symmetric,0.9099999999999999,-2.93712677123149
2,3,symmetric,symmetric,-2.9024994286277184
2,3,asymmetric,0.01,-9.867056043564565
2,3,asymmetric,0.31,-13.993659940713007
2,3,asymmetric,0.61,-13.801429018831612
2,3,asymmetric,0.9099999999999999,-13.539047459714268
2,3,asymmetric,symmetric,-14.12189683632756
2,4,0.01,0.01,-2.758383231541141
2,4,0.01,0.31,-2.820719558516061
2,4,0.01,0.61,-2.8681959673486785
2,4,0.01,0.9099999999999999,-3.2247438134191464
2,4,0.01,symmetric,-2.77790215847921
2,4,0.31,0.01,-3.6734071351538042
2,4,0.31,0.31,-3.6374573731839996
2,4,0.31,0.61,-3.3618885798735056
2,4,0.31,0.9099999999999999,-3.550033280238642
2,4,0.31,symmetric,-3.6256440133910033
2,4,0.61,0.01,-3.516649029210626
2,4,0.61,0.31,-3.3981000814917226
2,4,0.61,0.61,-3.2092969358565777
2,4,0.61,0.9099999999999999,-3.385690268693427
2,4,0.61,symmetric,-3.300347064590735
2,4,0.9099999999999999,0.01,-3.2999013116421954
2,4,0.9099999999999999,0.31,-3.05753993289881
2,4,0.9099999999999999,0.61,-2.9763915803990675
2,4,0.9099999999999999,0.9099999999999999,-2.774374731442467
2,4,0.9099999999999999,symmetric,-3.057955035980689
2,4,symmetric,0.01,-3.508653937276134
2,4,symmetric,0.31,-2.922856720614983
2,4,symmetric,0.61,-2.79621649477701
2,4,symmetric,0.9099999999999999,-3.9768571499444505
2,4,symmetric,symmetric,-3.0749801979865685
2,4,asymmetric,0.01,-9.336253600423227
2,4,asymmetric,0.31,-15.3454162842132
2,4,asymmetric,0.61,-15.100074860346623
2,4,asymmetric,0.9099999999999999,-14.255791030284186
2,4,asymmetric,symmetric,-15.340242659555333
2,5,0.01,0.01,-3.1983981894847866
2,5,0.01,0.31,-3.205505811580648
2,5,0.01,0.61,-4.274956472125378
2,5,0.01,0.9099999999999999,-5.389144625560024
2,5,0.01,symmetric,-2.9488726004635213
2,5,0.31,0.01,-3.80020182448228
2,5,0.31,0.31,-4.003593219504983
2,5,0.31,0.61,-4.741610358967202
2,5,0.31,0.9099999999999999,-6.965533702335331
2,5,0.31,symmetric,-4.157722790600009
2,5,0.61,0.01,-3.9269713181522734
2,5,0.61,0.31,-3.6001271627704057
2,5,0.61,0.61,-3.6270699111692855
2,5,0.61,0.9099999999999999,-3.682887817806691
2,5,0.61,symmetric,-3.763969092595995
2,5,0.9099999999999999,0.01,-3.7773159242795913
2,5,0.9099999999999999,0.31,-3.450957846928484
2,5,0.9099999999999999,0.61,-3.0240020234271108
2,5,0.9099999999999999,0.9099999999999999,-2.7031434309704716
2,5,0.9099999999999999,symmetric,-3.5987938013150056
2,5,symmetric,0.01,-3.539495858454221
2,5,symmetric,0.31,-3.3128133701564884
2,5,symmetric,0.61,-3.6933013584730547
2,5,symmetric,0.9099999999999999,-5.556933234705253
2,5,symmetric,symmetric,-3.4591372845089126
2,5,asymmetric,0.01,-10.753125949511745
2,5,asymmetric,0.31,-14.890961211874199
2,5,asymmetric,0.61,-15.685022659034937
2,5,asymmetric,0.9099999999999999,-15.422208525595725
2,5,asymmetric,symmetric,-15.639802048745349
2,6,0.01,0.01,-3.5693876272970786
2,6,0.01,0.31,-3.1433000863937206
2,6,0.01,0.61,-3.5535306208849353
2,6,0.01,0.9099999999999999,-7.133903392320779
2,6,0.01,symmetric,-3.093548702345426
2,6,0.31,0.01,-4.020013269296455
2,6,0.31,0.31,-4.215609261588431
2,6,0.31,0.61,-5.941733964093462
2,6,0.31,0.9099999999999999,-6.76975891753101
2,6,0.31,symmetric,-4.000345087846034
2,6,0.61,0.01,-4.6836295650477355
2,6,0.61,0.31,-4.206247610766561
2,6,0.61,0.61,-4.069861773978122
2,6,0.61,0.9099999999999999,-4.094041276390807
2,6,0.61,symmetric,-4.642435321704162
2,6,0.9099999999999999,0.01,-4.003615164434037
2,6,0.9099999999999999,0.31,-3.3891540739956607
2,6,0.9099999999999999,0.61,-2.8200989496746396
2,6,0.9099999999999999,0.9099999999999999,-2.606488674393234
2,6,0.9099999999999999,symmetric,-3.775409947923459
2,6,symmetric,0.01,-4.123159160654716
2,6,symmetric,0.31,-3.4639224528717825
2,6,symmetric,0.61,-5.218822183130845
2,6,symmetric,0.9099999999999999,-7.162164348214463
2,6,symmetric,symmetric,-3.6873771304044642
2,6,asymmetric,0.01,-9.458110396042143
2,6,asymmetric,0.31,-15.224554419134646
2,6,asymmetric,0.61,-15.511434270039954
2,6,asymmetric,0.9099999999999999,-14.598734740573478
2,6,asymmetric,symmetric,-15.95316277570545
2,7,0.01,0.01,-3.6125716994688335
2,7,0.01,0.31,-3.7906627373832262
2,7,0.01,0.61,-4.528647927612072
2,7,0.01,0.9099999999999999,-6.024611770644439
2,7,0.01,symmetric,-3.6901320389653187
2,7,0.31,0.01,-4.969970396704418
2,7,0.31,0.31,-4.8892336108637044
2,7,0.31,0.61,-5.3896656776428795
2,7,0.31,0.9099999999999999,-6.8101423149433105
2,7,0.31,symmetric,-5.09579718644818
2,7,0.61,0.01,-5.438925139071945
2,7,0.61,0.31,-4.397440554000437
2,7,0.61,0.61,-3.895823321330323
2,7,0.61,0.9099999999999999,-3.137290394127073
2,7,0.61,symmetric,-5.04030574961302
2,7,0.9099999999999999,0.01,-5.151769515394925
2,7,0.9099999999999999,0.31,-3.2408355712098924
2,7,0.9099999999999999,0.61,-2.6227225691303815
2,7,0.9099999999999999,0.9099999999999999,-2.5668392544856107
2,7,0.9099999999999999,symmetric,-4.673447296793376
2,7,symmetric,0.01,-3.649607716161314
2,7,symmetric,0.31,-3.4080251724946677
2,7,symmetric,0.61,-3.6310182918412957
2,7,symmetric,0.9099999999999999,-4.602651494060665
2,7,symmetric,symmetric,-3.7157502701826135
2,7,asymmetric,0.01,-10.771540648419437
2,7,asymmetric,0.31,-15.4304310929837
2,7,asymmetric,0.61,-15.497859910958407
2,7,asymmetric,0.9099999999999999,-14.63219350858237
2,7,asymmetric,symmetric,-15.341160001125644
2,8,0.01,0.01,-3.922933948754672
2,8,0.01,0.31,-4.160501364393669
2,8,0.01,0.61,-5.576480172737711
2,8,0.01,0.9099999999999999,-9.172625012321939
2,8,0.01,symmetric,-4.5766409522157
2,8,0.31,0.01,-5.149646477606252
2,8,0.31,0.31,-5.23607345028427
2,8,0.31,0.61,-6.195729221617478
2,8,0.31,0.9099999999999999,-8.139550726292045
2,8,0.31,symmetric,-5.553472935312663
2,8,0.61,0.01,-5.8705493845979655
2,8,0.61,0.31,-4.713682243215188
2,8,0.61,0.61,-3.469636376198128
2,8,0.61,0.9099999999999999,-2.773120774628275
2,8,0.61,symmetric,-5.6934075613591055
2,8,0.9099999999999999,0.01,-5.8730900453387935
2,8,0.9099999999999999,0.31,-3.3229240193351393
2,8,0.9099999999999999,0.61,-2.6029747232180664
2,8,0.9099999999999999,0.9099999999999999,-2.591532624807007
2,8,0.9099999999999999,symmetric,-5.275871598042089
2,8,symmetric,0.01,-4.360993959243835
2,8,symmetric,0.31,-4.991079225700842
2,8,symmetric,0.61,-6.0699179694763306
2,8,symmetric,0.9099999999999999,-8.01916459152214
2,8,symmetric,symmetric,-4.318842147224251
2,8,asymmetric,0.01,-11.676368491500604
2,8,asymmetric,0.31,-15.224685663232695
2,8,asymmetric,0.61,-15.397696097710131
2,8,asymmetric,0.9099999999999999,-14.92649172045757
2,8,asymmetric,symmetric,-13.92697589816717
2,9,0.01,0.01,-5.419889510077336
2,9,0.01,0.31,-4.574866300661675
2,9,0.01,0.61,-6.009647382219835
2,9,0.01,0.9099999999999999,-8.971336126182416
2,9,0.01,symmetric,-4.881138424712389
2,9,0.31,0.01,-6.440092088914111
2,9,0.31,0.31,-6.6488578739476365
2,9,0.31,0.61,-7.130813590729968
2,9,0.31,0.9099999999999999,-8.73894292164026
2,9,0.31,symmetric,-6.388308627752222
2,9,0.61,0.01,-5.83974105059251
2,9,0.61,0.31,-5.297548486533203
2,9,0.61,0.61,-3.067592009593127
2,9,0.61,0.9099999999999999,-2.7512197464117363
2,9,0.61,symmetric,-6.371863688968619
2,9,0.9099999999999999,0.01,-6.4410390417093595
2,9,0.9099999999999999,0.31,-3.3333174800893657
2,9,0.9099999999999999,0.61,-2.614228439811031
2,9,0.9099999999999999,0.9099999999999999,-2.5852102174253915
2,9,0.9099999999999999,symmetric,-6.035521827001746
2,9,symmetric,0.01,-4.564420416276888
2,9,symmetric,0.31,-4.50790756971924
2,9,symmetric,0.61,-5.6211114923991365
2,9,symmetric,0.9099999999999999,-8.653192618555682
2,9,symmetric,symmetric,-4.430047547969943
2,9,asymmetric,0.01,-10.221789975591221
2,9,asymmetric,0.31,-14.160627338879422
2,9,asymmetric,0.61,-14.215323229629876
2,9,asymmetric,0.9099999999999999,-14.099357766921482
2,9,asymmetric,symmetric,-14.793182718837341
3,2,0.01,0.01,-2.707495195322342
3,2,0.01,0.31,-2.713735791905051
3,2,0.01,0.61,-2.6744181195718135
3,2,0.01,0.9099999999999999,-2.646173312783466
3,2,0.01,symmetric,-2.6842244782986064
3,2,0.31,0.01,-2.721608520758531
3,2,0.31,0.31,-2.7071316434398156
3,2,0.31,0.61,-2.709128685136067
3,2,0.31,0.9099999999999999,-2.6660418747833914
3,2,0.31,symmetric,-2.6943191991693096
3,2,0.61,0.01,-2.8142035367262825
3,2,0.61,0.31,-2.8371821215313284
3,2,0.61,0.61,-2.8933326928856005
3,2,0.61,0.9099999999999999,-2.8900639754325024
3,2,0.61,symmetric,-2.839012176575278
3,2,0.9099999999999999,0.01,-2.793091048693702
3,2,0.9099999999999999,0.31,-2.8043301293691023
3,2,0.9099999999999999,0.61,-2.919274046770736
3,2,0.9099999999999999,0.9099999999999999,-2.899342170680658
3,2,0.9099999999999999,symmetric,-2.785970235985291
3,2,symmetric,0.01,-2.812938471145027
3,2,symmetric,0.31,-2.8476476969792257
3,2,symmetric,0.61,-2.8367958171259526
3,2,symmetric,0.9099999999999999,-2.850347800139608
3,2,symmetric,symmetric,-2.796877957492441
3,2,asymmetric,0.01,-3.3054394222634658
3,2,asymmetric,0.31,-11.51510311676634
3,2,asymmetric,0.61,-11.105505229523162
3,2,asymmetric,0.9099999999999999,-10.869031525739219
3,2,asymmetric,symmetric,-11.541089947380422
3,3,0.01,0.01,-2.6962078231907625
3,3,0.01,0.31,-2.666830916525654
3,3,0.01,0.61,-2.7635257081144133
3,3,0.01,0.9099999999999999,-2.680479293016361
3,3,0.01,symmetric,-2.633155460958777
3,3,0.31,0.01,-3.186853357090676
3,3,0.31,0.31,-3.0239081347603993
3,3,0.31,0.61,-3.1477892111529697
3,3,0.31,0.9099999999999999,-3.0250865276254495
3,3,0.31,symmetric,-3.1171646939590496
3,3,0.61,0.01,-3.37977684508186
3,3,0.61,0.31,-3.373063211457124
3,3,0.61,0.61,-3.3533513292268733
3,3,0.61,0.9099999999999999,-3.399712998532658
3,3,0.61,symmetric,-3.403567383950717
3,3,0.9099999999999999,0.01,-2.856412496700866
3,3,0.9099999999999999,0.31,-2.91262266063257
3,3,0.9099999999999999,0.61,-2.849372561112155
3,3,0.9099999999999999,0.9099999999999999,-2.783526562318086
3,3,0.9099999999999999,symmetric,-2.94320005792267
3,3,symmetric,0.01,-3.013865389850013
3,3,symmetric,0.31,-3.0333706178744264
3,3,symmetric,0.61,-3.0005126338400934
3,3,symmetric,0.9099999999999999,-3.1132468552564494
3,3,symmetric,symmetric,-3.038005057281524
3,3,asymmetric,0.01,-6.330459058825764
3,3,asymmetric,0.31,-14.074666403809287
