Below,Topics,Alpha,Beta,Coherence
5,2,0.01,0.01,-2.792440661975366
5,2,0.01,0.31,-2.790636483324925
5,2,0.01,0.61,-2.7860238161347954
5,2,0.01,0.9099999999999999,-2.780163514281511
5,2,0.31,0.01,-2.6700861596008325
5,2,0.31,0.31,-2.6653951094181325
5,2,0.31,0.61,-2.760925544788409
5,2,0.31,0.9099999999999999,-2.759463418003147
5,2,0.61,0.01,-2.733581632407941
5,2,0.61,0.31,-2.724218643565602
5,2,0.61,0.61,-2.7081573932777543
5,2,0.61,0.9099999999999999,-2.7003901847293568
5,2,0.9099999999999999,0.01,-2.7389544957970697
5,2,0.9099999999999999,0.31,-2.733922277141991
5,2,0.9099999999999999,0.61,-2.7325103614230715
5,2,0.9099999999999999,0.9099999999999999,-2.729034223381421
5,3,0.01,0.01,-2.7141528067864944
5,3,0.01,0.31,-2.751244877530917
5,3,0.01,0.61,-2.723388219456197
5,3,0.01,0.9099999999999999,-2.7245404452737936
5,3,0.31,0.01,-2.7133808161575566
5,3,0.31,0.31,-2.7135058076619227
5,3,0.31,0.61,-2.719161206660965
5,3,0.31,0.9099999999999999,-2.742558060378753
5,3,0.61,0.01,-2.7088262305670354
5,3,0.61,0.31,-2.7115513854151883
5,3,0.61,0.61,-2.7247570824475233
5,3,0.61,0.9099999999999999,-2.7201576667728404
5,3,0.9099999999999999,0.01,-2.679345216983147
5,3,0.9099999999999999,0.31,-2.716663912830594
5,3,0.9099999999999999,0.61,-2.7286649092932094
5,3,0.9099999999999999,0.9099999999999999,-2.7315483105772884
5,4,0.01,0.01,-2.7756881866301804
5,4,0.01,0.31,-2.7717825304750616
5,4,0.01,0.61,-2.7709784037975114
5,4,0.01,0.9099999999999999,-2.748271779980434
5,4,0.31,0.01,-2.8782601982033045
5,4,0.31,0.31,-2.901498086140254
5,4,0.31,0.61,-2.8808681758203956
5,4,0.31,0.9099999999999999,-2.919781488903543
5,4,0.61,0.01,-2.875910218365164
5,4,0.61,0.31,-2.9976047936815524
5,4,0.61,0.61,-2.988719837909245
5,4,0.61,0.9099999999999999,-3.021664844738978
5,4,0.9099999999999999,0.01,-2.9251991608537447
5,4,0.9099999999999999,0.31,-2.904870050012496
5,4,0.9099999999999999,0.61,-2.898001263233917
5,4,0.9099999999999999,0.9099999999999999,-2.921534215900437
5,5,0.01,0.01,-2.821069538801774
5,5,0.01,0.31,-2.9104737485347627
5,5,0.01,0.61,-2.9095942042863157
5,5,0.01,0.9099999999999999,-2.922372896246792
5,5,0.31,0.01,-3.017489259650604
5,5,0.31,0.31,-3.0187091724343196
5,5,0.31,0.61,-3.0100207696443397
5,5,0.31,0.9099999999999999,-2.9765086817101367
5,5,0.61,0.01,-3.1209116225265086
5,5,0.61,0.31,-3.127095584975856
5,5,0.61,0.61,-3.1761408166845597
5,5,0.61,0.9099999999999999,-3.163577847287801
5,5,0.9099999999999999,0.01,-2.9533604500663277
5,5,0.9099999999999999,0.31,-2.968023070476125
5,5,0.9099999999999999,0.61,-3.0678389179204113
5,5,0.9099999999999999,0.9099999999999999,-3.0250452989860106
5,6,0.01,0.01,-3.0401411137066563
5,6,0.01,0.31,-3.0152265989911213
5,6,0.01,0.61,-3.013116544830005
5,6,0.01,0.9099999999999999,-3.028148400110028
5,6,0.31,0.01,-3.2110661898767945
5,6,0.31,0.31,-3.269181968742512
5,6,0.31,0.61,-3.189266936262094
5,6,0.31,0.9099999999999999,-3.2644310754243975
5,6,0.61,0.01,-3.3199703954065396
5,6,0.61,0.31,-3.3115465588064903
5,6,0.61,0.61,-3.2379596287284493
5,6,0.61,0.9099999999999999,-3.2382161003264973
5,6,0.9099999999999999,0.01,-3.002990443420783
5,6,0.9099999999999999,0.31,-2.997339643999393
5,6,0.9099999999999999,0.61,-3.049763525116624
