Below,Topics,Alpha,Beta,Coherence
2,5,0.01,0.9099999999999999,-2.9935250206356185
2,5,0.31,0.01,-3.062560891495759
2,5,0.31,0.31,-3.0360734943605663
2,5,0.31,0.61,-2.8962766505946016
2,5,0.31,0.9099999999999999,-3.079379189552144
2,5,0.61,0.01,-3.0894887713693358
2,5,0.61,0.31,-3.087399726627981
2,5,0.61,0.61,-3.183749941667876
2,5,0.61,0.9099999999999999,-3.2180635439384595
2,5,0.9099999999999999,0.01,-2.965156523172065
2,5,0.9099999999999999,0.31,-2.9710229640366945
2,5,0.9099999999999999,0.61,-3.1070044988915226
2,5,0.9099999999999999,0.9099999999999999,-3.0567122468114065
2,6,0.01,0.01,-2.7585074223731834
2,6,0.01,0.31,-2.805677586654584
2,6,0.01,0.61,-2.7939176384415965
2,6,0.01,0.9099999999999999,-3.2097591667974537
2,6,0.31,0.01,-3.142550239664745
2,6,0.31,0.31,-3.2825698602648874
2,6,0.31,0.61,-3.28575993485175
2,6,0.31,0.9099999999999999,-3.4184881009924926
2,6,0.61,0.01,-3.229537519750434
2,6,0.61,0.31,-3.2406836501160172
2,6,0.61,0.61,-3.3161938424688704
2,6,0.61,0.9099999999999999,-3.5576907888504183
2,6,0.9099999999999999,0.01,-3.099950035714023
2,6,0.9099999999999999,0.31,-3.0845467727316254
2,6,0.9099999999999999,0.61,-3.0952910395675723
2,6,0.9099999999999999,0.9099999999999999,-3.030976602959526
2,7,0.01,0.01,-2.9258061540738334
2,7,0.01,0.31,-2.9334004034028003
2,7,0.01,0.61,-3.0906737300280773
2,7,0.01,0.9099999999999999,-3.0449778035003052
2,7,0.31,0.01,-3.1442838823110435
2,7,0.31,0.31,-3.185429301243224
2,7,0.31,0.61,-3.3971496865470656
2,7,0.31,0.9099999999999999,-3.515749008914843
2,7,0.61,0.01,-3.4852042882944603
2,7,0.61,0.31,-3.469057783180722
2,7,0.61,0.61,-3.56805147032667
2,7,0.61,0.9099999999999999,-3.7511668448845237
2,7,0.9099999999999999,0.01,-3.0915354504842547
2,7,0.9099999999999999,0.31,-2.970552731145008
2,7,0.9099999999999999,0.61,-3.0125138375821594
2,7,0.9099999999999999,0.9099999999999999,-3.10795237783621
2,8,0.01,0.01,-3.0912853008396777
2,8,0.01,0.31,-2.9975978994321775
2,8,0.01,0.61,-3.040994626653622
2,8,0.01,0.9099999999999999,-3.3333480865720695
2,8,0.31,0.01,-3.644044262820155
2,8,0.31,0.31,-3.5510278470084797
2,8,0.31,0.61,-3.5502704811158736
2,8,0.31,0.9099999999999999,-3.5465001555876228
2,8,0.61,0.01,-3.539898302415234
2,8,0.61,0.31,-3.5283808038812885
2,8,0.61,0.61,-3.5467200631095626
2,8,0.61,0.9099999999999999,-3.573029887423269
2,8,0.9099999999999999,0.01,-3.214731276060245
2,8,0.9099999999999999,0.31,-3.1118726529934957
2,8,0.9099999999999999,0.61,-3.1221798911849823
2,8,0.9099999999999999,0.9099999999999999,-2.9586916685444713
2,9,0.01,0.01,-3.1247360927426815
2,9,0.01,0.31,-3.0982046792441444
2,9,0.01,0.61,-3.1413064958673065
2,9,0.01,0.9099999999999999,-3.3436343387331195
2,9,0.31,0.01,-3.675610886185644
2,9,0.31,0.31,-3.6549156458565
2,9,0.31,0.61,-3.6194522877760633
2,9,0.31,0.9099999999999999,-3.7752267471040124
2,9,0.61,0.01,-3.4168499594535215
2,9,0.61,0.31,-3.4835393616040955
2,9,0.61,0.61,-3.588660757778998
2,9,0.61,0.9099999999999999,-3.711562775439385
2,9,0.9099999999999999,0.01,-3.073072801431744
2,9,0.9099999999999999,0.31,-3.212390806230402
2,9,0.9099999999999999,0.61,-3.113540377505
2,9,0.9099999999999999,0.9099999999999999,-2.869746796140794
